account_id,cluster
ACCT_000001,4
ACCT_000006,1
ACCT_000041,4
ACCT_000051,4
ACCT_000059,4
ACCT_000072,4
ACCT_000077,4
ACCT_000082,1
ACCT_000085,4
ACCT_000102,1
ACCT_000115,1
ACCT_000132,4
ACCT_000156,4
ACCT_000170,4
ACCT_000184,4
ACCT_000186,5
ACCT_000190,1
ACCT_000192,4
ACCT_000197,5
ACCT_000202,4
ACCT_000207,1
ACCT_000208,1
ACCT_000215,4
ACCT_000217,1
ACCT_000222,1
ACCT_000223,4
ACCT_000224,5
ACCT_000229,4
ACCT_000237,4
ACCT_000238,5
ACCT_000243,5
ACCT_000245,4
ACCT_000246,1
ACCT_000248,4
ACCT_000249,1
ACCT_000252,1
ACCT_000254,4
ACCT_000256,4
ACCT_000260,5
ACCT_000266,4
ACCT_000268,0
ACCT_000277,1
ACCT_000281,1
ACCT_000284,2
ACCT_000288,4
ACCT_000296,4
ACCT_000297,0
ACCT_000299,1
ACCT_000303,4
ACCT_000310,1
ACCT_000313,4
ACCT_000314,1
ACCT_000316,1
ACCT_000323,4
ACCT_000333,1
ACCT_000334,5
ACCT_000340,1
ACCT_000343,4
ACCT_000350,3
ACCT_000363,4
ACCT_000364,4
ACCT_000365,4
ACCT_000368,1
ACCT_000375,3
ACCT_000381,1
ACCT_000385,1
ACCT_000388,4
ACCT_000393,4
ACCT_000424,4
ACCT_000430,2
ACCT_000433,0
ACCT_000435,5
ACCT_000449,1
ACCT_000450,4
ACCT_000455,5
ACCT_000460,1
ACCT_000463,1
ACCT_000465,1
ACCT_000467,1
ACCT_000473,0
ACCT_000476,4
ACCT_000481,4
ACCT_000495,4
ACCT_000499,4
ACCT_000502,1
ACCT_000505,5
ACCT_000511,1
ACCT_000513,4
ACCT_000520,4
ACCT_000521,4
ACCT_000523,4
ACCT_000525,1
ACCT_000529,4
ACCT_000530,1
ACCT_000535,4
ACCT_000538,4
ACCT_000549,1
ACCT_000554,3
ACCT_000560,1
ACCT_000567,4
ACCT_000568,1
ACCT_000594,5
ACCT_000595,1
ACCT_000597,4
ACCT_000603,5
ACCT_000611,1
ACCT_000614,1
ACCT_000624,1
ACCT_000625,3
ACCT_000632,4
ACCT_000633,4
ACCT_000634,4
ACCT_000641,4
ACCT_000644,4
ACCT_000649,4
ACCT_000655,0
ACCT_000656,5
ACCT_000657,4
ACCT_000658,1
ACCT_000659,4
ACCT_000662,1
ACCT_000663,4
ACCT_000666,4
ACCT_000672,1
ACCT_000686,4
ACCT_000688,4
ACCT_000695,1
ACCT_000697,4
ACCT_000701,5
ACCT_000712,1
ACCT_000715,1
ACCT_000722,4
ACCT_000725,1
ACCT_000750,4
ACCT_000751,0
ACCT_000755,4
ACCT_000756,4
ACCT_000758,4
ACCT_000778,1
ACCT_000781,4
ACCT_000789,1
ACCT_000791,4
ACCT_000792,5
ACCT_000794,4
ACCT_000802,5
ACCT_000804,5
ACCT_000806,1
ACCT_000811,1
ACCT_000812,4
ACCT_000816,0
ACCT_000819,1
ACCT_000822,0
ACCT_000827,4
ACCT_000829,1
ACCT_000832,3
ACCT_000837,4
ACCT_000838,5
ACCT_000842,4
ACCT_000845,0
ACCT_000856,4
ACCT_000861,4
ACCT_000862,1
ACCT_000867,4
ACCT_000871,4
ACCT_000876,1
ACCT_000881,4
ACCT_000893,3
ACCT_000906,1
ACCT_000917,1
ACCT_000920,1
ACCT_000921,4
ACCT_000928,4
ACCT_000930,1
ACCT_000934,2
ACCT_000940,1
ACCT_000961,1
ACCT_000973,0
ACCT_000974,1
ACCT_000977,4
ACCT_000978,4
ACCT_000984,1
ACCT_000989,5
ACCT_000995,4
ACCT_001001,1
ACCT_001005,4
ACCT_001014,0
ACCT_001015,4
ACCT_001022,4
ACCT_001034,1
ACCT_001035,5
ACCT_001037,4
ACCT_001041,4
ACCT_001050,1
ACCT_001051,4
ACCT_001055,4
ACCT_001056,4
ACCT_001060,1
ACCT_001061,4
ACCT_001063,1
ACCT_001065,4
ACCT_001069,5
ACCT_001072,1
ACCT_001074,4
ACCT_001078,4
ACCT_001080,4
ACCT_001083,3
ACCT_001086,5
ACCT_001088,4
ACCT_001089,4
ACCT_001092,1
ACCT_001094,1
ACCT_001096,0
ACCT_001115,4
ACCT_001118,1
ACCT_001120,4
ACCT_001124,4
ACCT_001128,4
ACCT_001129,1
ACCT_001130,5
ACCT_001133,1
ACCT_001140,1
ACCT_001142,1
ACCT_001145,1
ACCT_001148,3
ACCT_001150,4
ACCT_001155,4
ACCT_001158,4
ACCT_001160,1
ACCT_001161,4
ACCT_001164,1
ACCT_001186,4
ACCT_001195,1
ACCT_001197,4
ACCT_001202,4
ACCT_001204,4
ACCT_001205,1
ACCT_001213,3
ACCT_001217,1
ACCT_001221,1
ACCT_001224,4
ACCT_001225,1
ACCT_001228,1
ACCT_001230,1
ACCT_001232,1
ACCT_001233,3
ACCT_001243,1
ACCT_001251,3
ACCT_001263,4
ACCT_001266,5
ACCT_001268,5
ACCT_001269,5
ACCT_001272,1
ACCT_001285,1
ACCT_001297,4
ACCT_001299,4
ACCT_001305,1
ACCT_001312,4
ACCT_001323,1
ACCT_001329,1
ACCT_001330,4
ACCT_001332,0
ACCT_001333,0
ACCT_001344,0
ACCT_001348,4
ACCT_001349,5
ACCT_001353,3
ACCT_001359,4
ACCT_001364,1
ACCT_001365,4
ACCT_001375,5
ACCT_001377,1
ACCT_001381,0
ACCT_001382,1
ACCT_001391,4
ACCT_001392,0
ACCT_001402,4
ACCT_001403,4
ACCT_001405,1
ACCT_001410,1
ACCT_001412,1
ACCT_001418,0
ACCT_001422,1
ACCT_001428,0
ACCT_001433,1
ACCT_001434,4
ACCT_001439,4
ACCT_001458,4
ACCT_001464,4
ACCT_001466,4
ACCT_001467,4
ACCT_001475,4
ACCT_001479,5
ACCT_001483,1
ACCT_001485,1
ACCT_001494,1
ACCT_001497,1
ACCT_001502,1
ACCT_001504,5
ACCT_001507,4
ACCT_001508,1
ACCT_001510,5
ACCT_001511,1
ACCT_001525,1
ACCT_001527,5
ACCT_001528,4
ACCT_001533,0
ACCT_001536,4
ACCT_001538,3
ACCT_001539,1
ACCT_001541,1
ACCT_001545,1
ACCT_001560,1
ACCT_001563,3
ACCT_001565,4
ACCT_001574,5
ACCT_001577,4
ACCT_001582,1
ACCT_001583,4
ACCT_001584,4
ACCT_001586,5
ACCT_001591,4
ACCT_001596,1
ACCT_001600,4
ACCT_001604,4
ACCT_001606,1
ACCT_001612,4
ACCT_001614,4
ACCT_001615,4
ACCT_001622,1
ACCT_001623,4
ACCT_001625,4
ACCT_001630,4
ACCT_001632,5
ACCT_001633,1
ACCT_001636,3
ACCT_001641,4
ACCT_001642,4
ACCT_001646,2
ACCT_001647,4
ACCT_001648,1
ACCT_001649,4
ACCT_001650,4
ACCT_001651,4
ACCT_001652,5
ACCT_001653,1
ACCT_001659,1
ACCT_001673,1
ACCT_001674,1
ACCT_001675,1
ACCT_001681,0
ACCT_001689,1
ACCT_001698,4
ACCT_001699,1
ACCT_001700,1
ACCT_001714,1
ACCT_001715,4
ACCT_001718,1
ACCT_001724,4
ACCT_001728,0
ACCT_001729,4
ACCT_001747,4
ACCT_001749,4
ACCT_001754,4
ACCT_001759,1
ACCT_001761,0
ACCT_001772,1
ACCT_001773,4
ACCT_001786,4
ACCT_001788,4
ACCT_001792,5
ACCT_001801,0
ACCT_001802,4
ACCT_001811,5
ACCT_001815,5
ACCT_001816,1
ACCT_001818,1
ACCT_001821,4
ACCT_001822,1
ACCT_001825,4
ACCT_001828,3
ACCT_001833,4
ACCT_001835,1
ACCT_001863,1
ACCT_001869,1
ACCT_001870,4
ACCT_001877,5
ACCT_001888,4
ACCT_001892,4
ACCT_001896,4
ACCT_001898,1
ACCT_001902,4
ACCT_001910,1
ACCT_001911,4
ACCT_001922,4
ACCT_001923,1
ACCT_001928,3
ACCT_001942,4
ACCT_001946,4
ACCT_001948,0
ACCT_001951,4
ACCT_001955,4
ACCT_001960,4
ACCT_001967,4
ACCT_001968,0
ACCT_001972,4
ACCT_001981,0
ACCT_001984,4
ACCT_001985,4
ACCT_001986,5
ACCT_001995,1
ACCT_002001,4
ACCT_002002,4
ACCT_002008,4
ACCT_002009,1
ACCT_002016,4
ACCT_002019,1
ACCT_002023,2
ACCT_002024,4
ACCT_002027,4
ACCT_002028,1
ACCT_002030,1
ACCT_002031,4
ACCT_002039,4
ACCT_002041,0
ACCT_002043,3
ACCT_002044,1
ACCT_002049,4
ACCT_002051,1
ACCT_002054,1
ACCT_002057,3
ACCT_002069,4
ACCT_002070,5
ACCT_002072,4
ACCT_002074,1
ACCT_002079,5
ACCT_002080,4
ACCT_002081,4
ACCT_002089,4
ACCT_002098,4
ACCT_002104,1
ACCT_002107,5
ACCT_002113,4
ACCT_002116,4
ACCT_002124,4
ACCT_002125,1
ACCT_002127,1
ACCT_002133,4
ACCT_002138,1
ACCT_002139,5
ACCT_002160,1
ACCT_002164,5
ACCT_002169,4
ACCT_002177,4
ACCT_002178,3
ACCT_002187,5
ACCT_002193,5
ACCT_002197,4
ACCT_002204,4
ACCT_002206,1
ACCT_002216,4
ACCT_002218,4
ACCT_002228,4
ACCT_002235,1
ACCT_002242,4
ACCT_002247,4
ACCT_002248,1
ACCT_002251,4
ACCT_002258,4
ACCT_002260,4
ACCT_002261,5
ACCT_002266,4
ACCT_002267,0
ACCT_002273,5
ACCT_002277,3
ACCT_002279,5
ACCT_002282,3
ACCT_002284,0
ACCT_002300,4
ACCT_002301,3
ACCT_002308,1
ACCT_002310,5
ACCT_002323,3
ACCT_002329,4
ACCT_002332,4
ACCT_002335,4
ACCT_002337,3
ACCT_002339,4
ACCT_002342,1
ACCT_002343,1
ACCT_002345,4
ACCT_002346,0
ACCT_002348,4
ACCT_002350,1
ACCT_002358,4
ACCT_002363,1
ACCT_002369,4
ACCT_002374,4
ACCT_002377,1
ACCT_002379,4
ACCT_002380,1
ACCT_002395,4
ACCT_002401,1
ACCT_002404,4
ACCT_002406,1
ACCT_002415,4
ACCT_002420,0
ACCT_002421,4
ACCT_002428,5
ACCT_002431,4
ACCT_002433,4
ACCT_002442,4
ACCT_002447,4
ACCT_002457,4
ACCT_002458,0
ACCT_002466,4
ACCT_002467,4
ACCT_002474,1
ACCT_002476,1
ACCT_002480,3
ACCT_002484,1
ACCT_002486,1
ACCT_002488,4
ACCT_002489,4
ACCT_002490,4
ACCT_002491,1
ACCT_002492,4
ACCT_002493,4
ACCT_002496,5
ACCT_002502,4
ACCT_002508,4
ACCT_002509,1
ACCT_002510,0
ACCT_002511,4
ACCT_002516,1
ACCT_002521,3
ACCT_002528,4
ACCT_002531,3
ACCT_002537,0
ACCT_002545,1
ACCT_002547,1
ACCT_002548,5
ACCT_002561,1
ACCT_002571,1
ACCT_002577,1
ACCT_002592,1
ACCT_002596,4
ACCT_002600,0
ACCT_002605,4
ACCT_002611,4
ACCT_002614,4
ACCT_002615,1
ACCT_002617,4
ACCT_002621,5
ACCT_002624,5
ACCT_002627,0
ACCT_002647,4
ACCT_002648,4
ACCT_002652,4
ACCT_002661,5
ACCT_002663,4
ACCT_002684,4
ACCT_002696,1
ACCT_002699,3
ACCT_002701,0
ACCT_002703,2
ACCT_002704,5
ACCT_002707,4
ACCT_002708,4
ACCT_002710,0
ACCT_002711,1
ACCT_002712,4
ACCT_002713,4
ACCT_002718,1
ACCT_002722,3
ACCT_002727,1
ACCT_002740,3
ACCT_002747,3
ACCT_002748,1
ACCT_002750,4
ACCT_002754,5
ACCT_002755,4
ACCT_002780,4
ACCT_002781,5
ACCT_002784,1
ACCT_002785,0
ACCT_002800,1
ACCT_002803,1
ACCT_002812,4
ACCT_002813,4
ACCT_002820,4
ACCT_002821,5
ACCT_002825,1
ACCT_002830,4
ACCT_002831,4
ACCT_002832,1
ACCT_002834,4
ACCT_002839,3
ACCT_002840,4
ACCT_002844,1
ACCT_002846,4
ACCT_002848,4
ACCT_002853,4
ACCT_002858,4
ACCT_002859,3
ACCT_002865,4
ACCT_002869,0
ACCT_002888,4
ACCT_002898,4
ACCT_002899,5
ACCT_002905,4
ACCT_002910,4
ACCT_002912,4
ACCT_002914,4
ACCT_002923,5
ACCT_002932,1
ACCT_002940,4
ACCT_002944,1
ACCT_002972,4
ACCT_002973,4
