section,feature,group,count,mean,median,std
numeric,age_years,Legit,23760,50.15181036926417,50.11362080766598,17.839046927782316
numeric,age_years,Mule,263,51.552324961027274,50.48870636550308,18.553115079299697
numeric,tenure_years,Legit,23760,16.041330715321134,16.07529089664613,8.805441465819394
numeric,tenure_years,Mule,263,16.26752862121106,16.175222450376456,8.829042237729757
numeric,avg_balance,Legit,23044,53281.731100503384,5260.4400000000005,859812.3458635987
numeric,avg_balance,Mule,254,-26562.453307086616,3560.985,567914.8147429659
numeric,monthly_avg_balance,Legit,23044,52860.924304374246,5213.97,862956.84984025
numeric,monthly_avg_balance,Mule,254,-20981.30728346456,3393.96,493838.8433093944
numeric,daily_avg_balance,Legit,23760,53231.53976683502,5078.89,926105.3888846341
numeric,daily_avg_balance,Mule,263,-15792.118136882134,3190.13,450268.7568235188
numeric,loan_sum,Legit,5061,-720499.8512704999,-435526.96,912095.1957852371
numeric,loan_sum,Mule,58,-777454.0144827587,-480804.05,792048.1848358399
numeric,loan_count,Legit,23760,0.42853535353535355,0.0,0.904149397415289
numeric,loan_count,Mule,263,0.46387832699619774,0.0,0.9559113873989683
numeric,cc_sum,Legit,3745,-81642.27755941256,-51859.72,146389.81656986268
numeric,cc_sum,Mule,45,-108337.7348888889,-68818.96,181530.73964359218
numeric,cc_count,Legit,23760,0.23733164983164984,0.0,0.5834785992960986
numeric,cc_count,Mule,263,0.2737642585551331,0.0,0.6369325745471043
numeric,od_sum,Legit,23760,-7769.528986952862,0.0,55159.38555381615
numeric,od_sum,Mule,263,-11092.683992395436,0.0,46973.50008948953
numeric,od_count,Legit,23760,0.1013047138047138,0.0,0.3017381325981907
numeric,od_count,Mule,263,0.10266159695817491,0.0,0.30409505897601075
numeric,ka_sum,Legit,23760,19879.481342171715,0.0,272436.02084180777
numeric,ka_sum,Mule,263,-4977.637452471483,0.0,205343.9844705775
numeric,ka_count,Legit,23760,0.3210858585858586,0.0,0.46825376073859515
numeric,ka_count,Mule,263,0.33840304182509506,0.0,0.48205242373351237
numeric,sa_sum,Legit,23760,17649.246520202018,0.0,382934.26266922976
numeric,sa_sum,Mule,263,21283.82577946768,1060.66,99079.66037522891
numeric,sa_count,Legit,23760,0.5885521885521886,1.0,0.5020973811717558
numeric,sa_count,Mule,263,0.8174904942965779,1.0,0.6689388421429985
categorical_rate,pan_available,N,607,9.0,0.014827018121911038,
categorical_rate,pan_available,Y,19981,217.0,0.010860317301436365,
categorical_rate,aadhaar_available,N,6932,76.0,0.010963646855164455,
categorical_rate,aadhaar_available,Y,11301,100.0,0.008848774444739404,
categorical_rate,passport_available,N,19745,223.0,0.011293998480628007,
categorical_rate,passport_available,Y,4278,40.0,0.009350163627863487,
categorical_rate,mobile_banking_flag,N,16340,174.0,0.010648714810281517,
categorical_rate,mobile_banking_flag,Y,7683,89.0,0.011584016660158791,
categorical_rate,internet_banking_flag,N,12717,137.0,0.01077298104898954,
categorical_rate,internet_banking_flag,Y,11306,126.0,0.011144525030957014,
categorical_rate,kyc_compliant,N,2397,22.0,0.00917813934084272,
categorical_rate,kyc_compliant,Y,21626,241.0,0.011143993341348376,
categorical_rate,nomination_flag,N,9511,108.0,0.011355272841972453,
categorical_rate,nomination_flag,Y,14512,155.0,0.010680815876515986,
categorical_rate,rural_branch,N,21212,221.0,0.010418630963605506,
categorical_rate,rural_branch,Y,2811,42.0,0.014941302027748132,
categorical_rate,product_family,K,7634,87.0,0.011396384595231858,
categorical_rate,product_family,O,2409,27.0,0.0112079701120797,
categorical_rate,product_family,S,13980,149.0,0.010658082975679542,
categorical_rate,account_status,active,23433,158.0,0.006742627917893569,
categorical_rate,account_status,frozen,590,105.0,0.17796610169491525,
