label_group,month,txn_count,amount_sum,credit_sum,debit_sum,mule_share_of_labeled_txn
Legit,2020-07-01,13767,123785667.01,53162364.400000006,70623302.61,0.016010292330784076
Mule,2020-07-01,224,2668368.9,861210.9700000001,1807157.9299999997,0.016010292330784076
Unlabeled,2020-07-01,8868,85540360.51,40249227.300000004,45291133.21,0.016010292330784076
Legit,2020-08-01,13946,141908362.24,69123272.00999999,72785090.23,0.018371225452241853
Mule,2020-08-01,261,5330296.08,1833284.79,3497011.2900000005,0.018371225452241853
Unlabeled,2020-08-01,9162,90005437.17,41148966.230000004,48856470.940000005,0.018371225452241853
Legit,2020-09-01,14307,149725248.57,65125940.11,84599308.46,0.017376373626373627
Mule,2020-09-01,253,3433519.08,1804179.35,1629339.73,0.017376373626373627
Unlabeled,2020-09-01,9258,94293382.16,49977339.47999999,44316042.68000001,0.017376373626373627
Legit,2020-10-01,14791,135138465.6,60644716.5,74493749.1,0.015311896677984155
Mule,2020-10-01,230,1814814.25,1044805.47,770008.7799999999,0.015311896677984155
Unlabeled,2020-10-01,9690,103782099.29,47009634.629999995,56772464.66,0.015311896677984155
Legit,2020-11-01,16497,212279632.37,104764589.14,107515043.22999999,0.013042177684714329
Mule,2020-11-01,218,1783583.7,779726.26,1003857.4400000001,0.013042177684714329
Unlabeled,2020-11-01,10524,127405654.74,55419345.13,71986309.61,0.013042177684714329
Legit,2020-12-01,15884,157837146.33,77566388.00999999,80270758.32,0.01732244493937144
Mule,2020-12-01,280,3117935.74,1437594.2000000002,1680341.54,0.01732244493937144
Unlabeled,2020-12-01,10135,91789267.0,40999643.260000005,50789623.74,0.01732244493937144
Legit,2021-01-01,15709,147697485.94,67822263.68,79875222.25999999,0.015109717868338557
Mule,2021-01-01,241,1858786.96,601569.5599999999,1257217.4000000001,0.015109717868338557
Unlabeled,2021-01-01,10116,98771075.95,49265438.42,49505637.53,0.015109717868338557
Legit,2021-02-01,14503,139380394.23,64493939.61,74886454.62,0.015744825246012895
Mule,2021-02-01,232,2599879.34,1175388.2900000003,1424491.05,0.015744825246012895
Unlabeled,2021-02-01,9567,97279391.52,47787848.14,49491543.379999995,0.015744825246012895
Legit,2021-03-01,20501,264462137.08,129701355.06,134760782.01999998,0.012095219737856593
Mule,2021-03-01,251,5181871.81,2381503.0700000003,2800368.74,0.012095219737856593
Unlabeled,2021-03-01,13145,177451214.82,81730238.46000001,95720976.36,0.012095219737856593
Legit,2021-04-01,17172,173604696.28,80843484.02,92761212.26,0.01310344827586207
Mule,2021-04-01,228,2497351.8,1695989.1,801362.7,0.01310344827586207
Unlabeled,2021-04-01,10945,115920170.32,54798942.07,61121228.24999999,0.01310344827586207
Legit,2021-05-01,17631,159205469.13,71690628.60999998,87514840.52,0.011826028472144378
Mule,2021-05-01,211,2584025.85,1356529.92,1227495.9300000002,0.011826028472144378
Unlabeled,2021-05-01,10964,101636807.92,49724022.15,51912785.77,0.011826028472144378
Legit,2021-06-01,17748,157850696.45,70557392.51,87293303.94,0.01229895931882687
Mule,2021-06-01,221,2618759.88,1020033.6000000001,1598726.2799999998,0.01229895931882687
Unlabeled,2021-06-01,11273,107923404.1,49821976.91,58101427.19,0.01229895931882687
Legit,2021-07-01,18782,173953908.94,80561612.97,93392295.97,0.014119993701118052
Mule,2021-07-01,269,3079511.74,1321519.2100000004,1757992.53,0.014119993701118052
Unlabeled,2021-07-01,12039,105113687.93,48614017.410000004,56499670.519999996,0.014119993701118052
Legit,2021-08-01,19216,176461442.72,85749817.06,90711625.66,0.014665162547431033
Mule,2021-08-01,286,3664554.25,1235767.9100000001,2428786.3400000003,0.014665162547431033
Unlabeled,2021-08-01,12089,109382268.85,49145655.92,60236612.93,0.014665162547431033
Legit,2021-09-01,19512,173137696.0,79850856.27,93286839.73,0.014744496061401737
Mule,2021-09-01,292,3846937.71,1751026.0699999998,2095911.64,0.014744496061401737
Unlabeled,2021-09-01,11892,119518447.48,58230182.32,61288265.160000004,0.014744496061401737
Legit,2021-10-01,20810,217239514.57,106591765.18,110647749.38999999,0.012058488416255222
Mule,2021-10-01,254,2255839.08,1031344.71,1224494.37,0.012058488416255222
Unlabeled,2021-10-01,12700,133402221.34,55551818.84,77850402.5,0.012058488416255222
Legit,2021-11-01,21767,234341434.14,107211948.15,127129485.99000001,0.012744920174165458
Mule,2021-11-01,281,3053397.85,1142453.49,1910944.3599999999,0.012744920174165458
Unlabeled,2021-11-01,13354,133833913.65,66943434.94,66890478.71,0.012744920174165458
Legit,2021-12-01,10641,99364548.03,44013707.12,55350840.91,0.012619467384244224
Mule,2021-12-01,136,1788058.65,917188.3600000002,870870.29,0.012619467384244224
Unlabeled,2021-12-01,6727,64793735.25,29062415.79,35731319.45999999,0.012619467384244224
