community_id,size,mule_density
0,1079,0.0018535681186283596
1,869,0.0023014959723820483
2,868,0.001152073732718894
3,852,0.0
4,845,0.0
5,838,0.002386634844868735
6,825,0.0024242424242424242
7,785,0.0
8,758,0.0013192612137203166
9,739,0.0
10,736,0.0
11,730,0.0
12,722,0.0
13,698,0.0
14,686,0.0
15,681,0.0014684287812041115
16,678,0.0014749262536873156
17,669,0.0
18,656,0.001524390243902439
19,651,0.0
20,641,0.0015600624024961
21,634,0.0015772870662460567
22,615,0.0
23,614,0.0016286644951140066
24,611,0.0
25,602,0.0
26,600,0.0016666666666666668
27,588,0.0017006802721088435
28,579,0.0
29,550,0.0
30,548,0.0
31,545,0.0
32,533,0.0
33,520,0.0019230769230769232
34,520,0.0019230769230769232
35,514,0.0019455252918287938
36,513,0.0
37,510,0.0
38,510,0.00196078431372549
39,506,0.0
40,505,0.0
41,503,0.0
42,500,0.002
43,498,0.002008032128514056
44,497,0.002012072434607646
45,494,0.0
46,493,0.0
47,489,0.002044989775051125
48,488,0.0020491803278688526
49,481,0.0
50,478,0.0
51,477,0.0
52,476,0.0
53,467,0.0
54,463,0.0
55,460,0.0
56,452,0.0
57,445,0.0
58,443,0.0
59,441,0.0045351473922902496
60,441,0.0022675736961451248
61,438,0.0
62,437,0.002288329519450801
63,432,0.0
64,430,0.002325581395348837
65,427,0.0
66,427,0.0
67,415,0.0
68,415,0.0
69,414,0.0
70,412,0.0024271844660194173
71,409,0.0024449877750611247
72,407,0.002457002457002457
73,406,0.0
74,398,0.0
75,387,0.0
76,380,0.0
77,379,0.0
78,378,0.0026455026455026454
79,374,0.00267379679144385
80,372,0.005376344086021506
81,371,0.0
82,368,0.0
83,362,0.0
84,361,0.002770083102493075
85,355,0.0
86,354,0.0
87,347,0.0
88,340,0.0
89,333,0.0
90,326,0.003067484662576687
91,323,0.0
92,320,0.0
93,305,0.0
94,298,0.003355704697986577
95,278,0.0
96,272,0.0
97,271,0.0
98,266,0.0
99,266,0.0
100,255,0.0
101,255,0.0
102,254,0.003937007874015748
103,254,0.003937007874015748
104,247,0.004048582995951417
105,243,0.0
106,229,0.0
107,217,0.0
108,216,0.0
109,212,0.0
110,210,0.0
111,205,0.0
112,203,0.0
113,196,0.0
114,196,0.0
115,190,0.005263157894736842
116,190,0.0
117,184,0.0
118,177,0.0
119,175,0.0
120,174,0.0
121,172,0.005813953488372093
122,171,0.0
123,171,0.0
124,168,0.0
125,165,0.0
126,164,0.0
127,155,0.0
128,149,0.0
129,11,0.0
130,11,0.0
131,10,0.0
132,9,0.0
133,9,0.0
134,8,0.0
135,8,0.0
136,8,0.0
137,8,0.0
138,7,0.0
139,7,0.0
140,7,0.0
141,7,0.0
142,7,0.0
143,7,0.0
144,7,0.0
145,7,0.0
146,7,0.0
147,7,0.0
148,7,0.0
149,7,0.0
150,6,0.0
151,6,0.0
152,6,0.0
153,6,0.0
154,6,0.0
155,6,0.0
156,6,0.0
157,6,0.0
158,6,0.0
159,6,0.16666666666666666
160,6,0.0
161,6,0.0
162,6,0.0
163,6,0.0
164,6,0.0
165,6,0.0
166,5,0.0
167,5,0.0
168,5,0.0
169,5,0.0
170,5,0.0
171,5,0.0
172,5,0.0
173,5,0.0
174,5,0.0
175,5,0.0
176,5,0.0
177,5,0.0
178,5,0.0
179,5,0.0
180,5,0.0
181,5,0.0
182,5,0.0
183,5,0.0
184,5,0.0
185,5,0.0
186,5,0.0
187,5,0.0
188,5,0.0
189,5,0.0
190,5,0.0
191,5,0.0
192,5,0.0
193,5,0.0
194,5,0.0
195,5,0.0
196,5,0.0
197,5,0.0
198,5,0.0
199,5,0.0
200,5,0.0
201,5,0.0
202,5,0.0
203,5,0.0
204,5,0.0
205,4,0.0
206,4,0.0
207,4,0.0
208,4,0.0
209,4,0.0
210,4,0.0
211,4,0.0
212,4,0.0
213,4,0.0
214,4,0.0
215,4,0.0
216,4,0.0
217,4,0.0
218,4,0.0
219,4,0.0
220,4,0.0
221,4,0.0
222,4,0.0
223,4,0.0
224,4,0.0
225,4,0.0
226,4,0.0
227,4,0.0
228,4,0.0
229,4,0.0
230,4,0.0
231,4,0.0
232,4,0.0
233,4,0.0
234,4,0.0
235,4,0.0
236,4,0.0
237,4,0.0
238,4,0.0
239,4,0.0
240,4,0.0
241,4,0.0
242,4,0.0
243,4,0.0
244,4,0.0
245,4,0.0
246,4,0.0
247,4,0.0
248,4,0.0
249,4,0.0
250,4,0.0
251,4,0.0
252,4,0.0
253,4,0.0
254,4,0.0
255,4,0.0
256,4,0.0
257,4,0.0
258,4,0.0
259,4,0.0
260,4,0.0
261,4,0.0
262,4,0.0
263,4,0.0
264,4,0.0
265,4,0.0
266,4,0.0
267,4,0.0
268,4,0.0
269,4,0.0
270,4,0.0
271,4,0.0
272,4,0.0
273,4,0.0
274,4,0.0
275,4,0.0
276,4,0.0
277,4,0.0
278,4,0.0
279,4,0.0
280,4,0.0
281,4,0.0
282,4,0.0
283,4,0.0
284,4,0.0
285,4,0.0
286,4,0.0
287,4,0.0
288,4,0.0
289,4,0.0
290,4,0.0
291,4,0.0
292,4,0.0
293,4,0.0
294,4,0.0
295,4,0.0
296,3,0.0
297,3,0.0
298,3,0.0
299,3,0.0
300,3,0.0
301,3,0.0
302,3,0.0
303,3,0.0
304,3,0.0
305,3,0.0
306,3,0.0
307,3,0.0
308,3,0.0
309,3,0.0
310,3,0.0
311,3,0.0
312,3,0.0
313,3,0.0
314,3,0.0
315,3,0.0
316,3,0.0
317,3,0.0
318,3,0.0
319,3,0.0
320,3,0.0
321,3,0.0
322,3,0.0
323,3,0.0
324,3,0.0
325,3,0.0
326,3,0.0
327,3,0.0
328,3,0.0
329,3,0.0
330,3,0.0
331,3,0.0
332,3,0.0
333,3,0.0
334,3,0.0
335,3,0.0
336,3,0.0
337,3,0.0
338,3,0.0
339,3,0.0
340,3,0.0
341,3,0.0
342,3,0.0
343,3,0.0
344,3,0.0
345,3,0.0
346,3,0.0
347,3,0.0
348,3,0.0
349,3,0.0
350,3,0.0
351,3,0.0
352,3,0.0
353,3,0.0
354,3,0.0
355,3,0.0
356,3,0.0
357,3,0.0
358,3,0.0
359,3,0.0
360,3,0.0
361,3,0.0
362,3,0.0
363,3,0.0
364,3,0.0
365,3,0.0
366,3,0.0
367,3,0.0
368,3,0.0
369,3,0.0
370,3,0.0
371,3,0.0
372,3,0.0
373,3,0.0
374,3,0.0
375,3,0.0
376,3,0.0
377,3,0.0
378,3,0.0
379,3,0.0
380,3,0.0
381,3,0.0
382,3,0.0
383,3,0.0
384,3,0.0
385,3,0.0
386,3,0.0
387,3,0.0
388,3,0.0
389,3,0.0
390,3,0.0
391,3,0.0
392,3,0.0
393,3,0.0
394,3,0.0
395,3,0.0
396,3,0.0
397,3,0.0
398,3,0.0
399,3,0.0
400,3,0.0
401,3,0.0
402,3,0.0
403,3,0.0
404,3,0.0
405,3,0.0
406,3,0.0
407,3,0.0
408,3,0.0
409,3,0.0
410,3,0.0
411,3,0.0
412,3,0.0
413,3,0.0
414,3,0.0
415,3,0.0
416,3,0.0
417,3,0.0
418,3,0.0
419,3,0.0
420,3,0.0
421,3,0.0
422,3,0.0
423,3,0.0
424,3,0.0
425,3,0.0
426,3,0.0
427,3,0.0
428,3,0.0
429,3,0.0
430,3,0.0
431,3,0.0
432,3,0.0
433,3,0.0
434,3,0.0
435,3,0.0
436,3,0.0
437,3,0.0
438,3,0.0
439,3,0.0
440,3,0.0
441,3,0.0
442,3,0.0
443,3,0.0
444,3,0.0
445,3,0.0
446,3,0.0
447,3,0.0
448,3,0.0
449,3,0.0
450,3,0.0
451,3,0.0
452,3,0.0
453,3,0.0
454,3,0.0
455,3,0.0
456,3,0.0
457,3,0.0
458,3,0.0
459,3,0.0
460,3,0.0
461,3,0.0
462,3,0.0
463,3,0.0
464,3,0.0
465,3,0.0
466,2,0.0
467,2,0.0
468,2,0.0
469,2,0.0
470,2,0.0
471,2,0.0
472,2,0.0
473,2,0.0
474,2,0.0
475,2,0.5
476,2,0.0
477,2,0.0
478,2,0.0
479,2,0.0
480,2,0.0
481,2,0.0
482,2,0.0
483,2,0.0
484,2,0.0
485,2,0.0
486,2,0.0
487,2,0.0
488,2,0.0
489,2,0.0
490,2,0.0
491,2,0.0
492,2,0.0
493,2,0.0
494,2,0.0
495,2,0.0
496,2,0.0
497,2,0.0
498,2,0.0
499,2,0.0
500,2,0.0
501,2,0.0
502,2,0.0
503,2,0.0
504,2,0.0
505,2,0.0
506,2,0.0
507,2,0.0
508,2,0.0
509,2,0.0
510,2,0.0
511,2,0.0
512,2,0.0
513,2,0.0
514,2,0.0
515,2,0.0
516,2,0.0
517,2,0.0
518,2,0.0
519,2,0.0
520,2,0.0
521,2,0.0
522,2,0.0
523,2,0.0
524,2,0.0
525,2,0.0
526,2,0.0
527,2,0.0
528,2,0.0
529,2,0.0
530,2,0.0
531,2,0.0
532,2,0.0
533,2,0.0
534,2,0.0
535,2,0.0
536,2,0.0
537,2,0.0
538,2,0.0
539,2,0.0
540,2,0.0
541,2,0.0
542,2,0.0
543,2,0.0
544,2,0.0
545,2,0.0
546,2,0.0
547,2,0.0
548,2,0.0
549,2,0.0
550,2,0.0
551,2,0.0
552,2,0.0
553,2,0.0
554,2,0.0
555,2,0.0
556,2,0.0
557,2,0.0
558,2,0.0
559,2,0.0
560,2,0.0
561,2,0.0
562,2,0.0
563,2,0.0
564,2,0.0
565,2,0.0
566,2,0.0
567,2,0.0
568,2,0.0
569,2,0.0
570,2,0.0
571,2,0.0
572,2,0.0
573,2,0.0
574,2,0.0
575,2,0.0
576,2,0.0
577,2,0.0
578,2,0.0
579,2,0.0
